license_key,category
adi-bsd,Permissive
agere-bsd,Permissive
bsd-1-clause,Permissive
bsd-1-clause-build,Permissive
bsd-1988,Permissive
bsd-2-clause-first-lines,Permissive
bsd-2-clause-freebsd,Permissive
bsd-2-clause-netbsd,Permissive
bsd-2-clause-pkgconf-disclaimer,Permissive
bsd-2-clause-plus-advertizing,Permissive
bsd-2-clause-views,Permissive
bsd-3-clause-devine,Permissive
bsd-3-clause-fda,Permissive
bsd-3-clause-hp,Permissive
bsd-3-clause-jtag,Permissive
bsd-3-clause-no-change,Permissive
bsd-3-clause-no-trademark,Permissive
bsd-3-clause-open-mpi,Permissive
bsd-3-clause-sun,Permissive
bsd-4-clause-shortened,Permissive
bsd-ack,Permissive
bsd-ack-carrot2,Permissive
bsd-advertising-acknowledgement,Permissive
bsd-artwork,Permissive
bsd-atmel,Permissive
bsd-axis,Permissive
bsd-axis-nomod,Permissive
bsd-credit,Permissive
bsd-dpt,Permissive
bsd-endorsement-allowed,Permissive
bsd-export,Permissive
bsd-gnu-efi,Permissive
bsd-inferno-nettverk,Permissive
bsd-innosys,Permissive
bsd-intel,Permissive
bsd-mylex,Permissive
bsd-new,Permissive
bsd-new-derivative,Permissive
bsd-new-far-manager,Permissive
bsd-new-nomod,Permissive
bsd-new-tcpdump,Permissive
bsd-no-disclaimer,Permissive
bsd-no-disclaimer-unmodified,Permissive
bsd-original,Permissive
bsd-original-muscle,Permissive
bsd-original-uc,Permissive
bsd-original-uc-1986,Permissive
bsd-original-uc-1990,Permissive
bsd-original-voices,Permissive
bsd-plus-mod-notice,Permissive
bsd-plus-patent,Permissive
bsd-simplified,Permissive
bsd-simplified-darwin,Permissive
bsd-simplified-intel,Permissive
bsd-simplified-source,Permissive
bsd-source-code,Permissive
bsd-systemics,Permissive
bsd-systemics-w3works,Permissive
bsd-top,Permissive
bsd-top-gpl-addition,Permissive
bsd-unchanged,Permissive
bsd-unmodified,Permissive
bsd-x11,Permissive
bsd-zero,Permissive
clear-bsd,Permissive
clear-bsd-1-clause,Permissive
dual-bsd-gpl,Permissive
energyplus-bsd,Permissive
freebsd-boot,Permissive
freebsd-doc,Permissive
freebsd-first,Permissive
intel-bsd,Permissive
intel-bsd-2-clause,Permissive
intel-bsd-export-control,Permissive
lanl-bsd-3-variant,Permissive
lbnl-bsd,Permissive
purdue-bsd,Permissive
red-hat-bsd-simplified,Permissive
ricebsd,Permissive
w3c-03-bsd-license,Permissive
